"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","AISLER_MPN","Arrow Part Number","Arrow Price/Stock","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Digikey","Family","MPN","Manufacturer","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Status","Url"
"1","1","BT1","Battery","Device:Battery","Battery:BatteryHolder_Keystone_2479_3xAAA","https://www.keyelco.com/userAssets/file/M65p28.pdf","2479","","","","","","","36-2479-ND","","","2479","Keystone Electronics","","","","","",""
"2","3","C1, C3, C4","100n","Device:C","Capacitor_SMD:C_0805_2012Metric","~","CL21B104KBCNNNC","","","","","","","1276-1003-2-ND","","","CL21B104KBCNNNC","Samsung Electro-Mechanics","","","","","","https://www.digikey.no/en/products/detail/samsung-electro-mechanics/CL05B104KO5NNNC/3886659"
"3","1","C2","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","~","CL21A106KAYNNNE","","","","","","","1276-2891-2-ND","","","CL21A106KAYNNNE","Samsung Electro-Mechanics","","","","","","https://www.digikey.no/en/products/detail/samsung-electro-mechanics/CL05A106MP8NUB8/5961314"
"4","1","C5","10nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","VJ0805A100JXAAC","","","","","","","720-1699-2-ND","","","Vishay Vitramon","Samsung Electro-Mechanics","","","","","","https://www.digikey.no/en/products/detail/samsung-electro-mechanics/CL05B104KO5NNNC/3886659"
"5","1","D1","RED","Device:LED","LED_SMD:LED_0805_2012Metric","~","APT2012SECK/J3-PRV","","","","","","","754-1791-2-ND","","","APT2012SECK/J3-PRV","Kingbright","","","","","",""
"6","1","D2","GREEN","Device:LED","LED_SMD:LED_0805_2012Metric","~","APT2012LZGCK","","","","","","","754-1939-2-ND","","","APT2012LZGCK","Kingbright","","","","","",""
"7","1","D3","BLUE","Device:LED","LED_SMD:LED_0805_2012Metric","~","APT2012LVBC/D","","","","","","","754-1938-2-ND","","","APT2012LVBC/D","Kingbright","","","","","",""
"8","1","D4","YELLOW","Device:LED","LED_SMD:LED_0805_2012Metric","~","APT2012LSYCK/J3-PRV","","","","","","","754-1937-2-ND","","","APT2012LSYCK/J3-PRV","Kingbright","","","","","",""
"9","1","J1","J1","Connector_Generic:Conn_01x16","Connector_PinSocket_2.54mm:PinSocket_1x16_P2.54mm_Vertical","~","PPTC161LFBN-RC","","","","","","","S7014-ND","","","PPTC161LFBN-RC","Sullins Connector Solutions","","","","","",""
"10","1","J2","J2","Connector_Generic:Conn_01x12","Connector_PinSocket_2.54mm:PinSocket_1x12_P2.54mm_Vertical","~","PPTC121LFBN-RC","","","","","","","S6100-ND","","","PPTC121LFBN-RC","Sullins Connector Solutions","","","","","",""
