"Source:","/Users/lulf/dev/burrboard/hardware/feather/burrboard.kicad_sch"
"Date:","2022 January 27, Thursday 20:46:38"
"Tool:","Eeschema (6.0.0-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","23"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","AISLER_MPN","Arrow Part Number","Arrow Price/Stock","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Digikey","Family","MPN","Manufacturer","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Status","Url"
"","","BT1","Battery","Device:Battery","Battery:BatteryHolder_Keystone_2479_3xAAA","https://www.keyelco.com/userAssets/file/M65p28.pdf","2479","","","","","","","36-2479-ND","","","2479","Keystone Electronics","","","","","",""
"","","C1","100n","Device:C","Capacitor_SMD:C_0805_2012Metric","~","CL21B104KBCNNNC","","","","","","","1276-1003-2-ND","","","CL21B104KBCNNNC","Samsung Electro-Mechanics","","","","","","https://www.digikey.no/en/products/detail/samsung-electro-mechanics/CL05B104KO5NNNC/3886659"
"","","C5","10nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","CL21B103KBANNNC","","","","","","","1276-1015-2-ND","","","CL21B103KBANNNC","Samsung Electro-Mechanics","","","","","","https://www.digikey.no/en/products/detail/samsung-electro-mechanics/CL05B104KO5NNNC/3886659"
"","","D1","RED","Device:LED","LED_SMD:LED_0805_2012Metric","~","APT2012SECK/J3-PRV","","","","","","","754-1791-2-ND","","","APT2012SECK/J3-PRV","Kingbright","","","","","",""
"","","D2","GREEN","Device:LED","LED_SMD:LED_0805_2012Metric","~","APT2012LZGCK","","","","","","","754-1939-2-ND","","","APT2012LZGCK","Kingbright","","","","","",""
"","","D3","BLUE","Device:LED","LED_SMD:LED_0805_2012Metric","~","APT2012LVBC/D","","","","","","","754-1938-2-ND","","","APT2012LVBC/D","Kingbright","","","","","",""
"","","D4","YELLOW","Device:LED","LED_SMD:LED_0805_2012Metric","~","APT2012LSYCK/J3-PRV","","","","","","","754-1937-2-ND","","","APT2012LSYCK/J3-PRV","Kingbright","","","","","",""
"","","J1","J1","Connector_Generic:Conn_01x16","Connector_PinSocket_2.54mm:PinSocket_1x16_P2.54mm_Vertical","~","PPTC161LFBN-RC","","","","","","","S7014-ND","","","PPTC161LFBN-RC","Sullins Connector Solutions","","","","","",""
"","","J2","J2","Connector_Generic:Conn_01x12","Connector_PinSocket_2.54mm:PinSocket_1x12_P2.54mm_Vertical","~","PPTC121LFBN-RC","","","","","","","S6100-ND","","","PPTC121LFBN-RC","Sullins Connector Solutions","","","","","",""
"","","Q1","TEMT6000X01","burrboard:TEMT6000X01","burrboard:Phototransistor_SMD_4x2mm_TEMT6000X01","https://www.vishay.com/docs/81579/temt6000.pdf","","TEMT6000X01","https://www.arrow.com/en/products/temt6000x01/vishay?region=nac","","","","Ambient Light Sensor 570nm SMD3 Vishay TEMT6000X01 +/-60  Visible Light Phototransistor, Surface Mount 3-Pin 1206 package","","","","","","Vishay","TEMT6000X01","78-TEMT6000","https://www.mouser.co.uk/ProductDetail/Vishay-Semiconductors/TEMT6000X01?qs=%2Fjqivxn91ccZGXDwz0wGxg%3D%3D","",""
"","","R1","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","RMCF0805FT10K0","","","","","","","RMCF0805FT10K0TR-ND","https://www.digikey.no/en/products/detail/panasonic-electronic-components/ERJ-3GEYJ103V/135662","","RMCF0805FT10K0","Stackpole Electronics Inc","","","","","",""
"","","R2","1.5k","Device:R","Resistor_SMD:R_0805_2012Metric","~","RMCF0805FT1K50","","","","","","","RMCF0805FT1K50TR-ND","https://www.digikey.no/en/products/detail/panasonic-electronic-components/ERJ-3GEYJ103V/135662","","RMCF0805FT1K50","Stackpole Electronics Inc","","","","","",""
"","","R4","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","RMCF0805FT10K0","","","","","","","RMCF0805FT10K0TR-ND","https://www.digikey.no/en/products/detail/panasonic-electronic-components/ERJ-3GEYJ103V/135662","","RMCF0805FT10K0","Stackpole Electronics Inc","","","","","",""
"","","R5","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","RMCF0805FT10K0","","","","","","","RMCF0805FT10K0TR-ND","https://www.digikey.no/en/products/detail/panasonic-electronic-components/ERJ-3GEYJ103V/135662","","RMCF0805FT10K0","Stackpole Electronics Inc","","","","","",""
